"","Gender","Poverty","Community","Rural","PTR","SCR","Dropout"
"1","Female","No","General","Yes","High","Low",FALSE
"2","Female","No","General","Yes","Medium","High",FALSE
"3","Male","No","ST","No","High","High",TRUE
"4","Male","Yes","General","Yes","High","High",TRUE
"5","Female","No","General","No","Medium","Low",FALSE
"6","Female","No","General","No","High","High",FALSE
"7","Female","No","SC","No","High","High",TRUE
"8","Female","No","General","Yes","Medium","High",FALSE
"9","Male","No","SC","Yes","High","High",TRUE
"10","Female","No","OBC","No","High","Low",FALSE
"11","Male","Yes","SC","No","Low","High",TRUE
"12","Male","No","General","Yes","High","High",FALSE
"13","Male","No","OBC","Yes","High","Medium",FALSE
"14","Female","No","General","No","High","Low",FALSE
"15","Male","No","ST","No","Low","High",FALSE
"16","Female","No","General","Yes","Medium","High",FALSE
"17","Male","No","OBC","Yes","Medium","High",TRUE
"18","Female","No","OBC","Yes","High","High",TRUE
"19","Female","Yes","OBC","Yes","Low","High",TRUE
"20","Male","No","OBC","Yes","High","High",TRUE
"21","Male","No","OBC","No","High","Medium",FALSE
"22","Female","No","General","Yes","Low","High",FALSE
"23","Male","No","ST","Yes","High","Medium",TRUE
"24","Female","No","General","Yes","High","High",FALSE
"25","Male","Yes","OBC","Yes","High","High",TRUE
"26","Male","No","General","Yes","High","High",FALSE
"27","Female","No","SC","No","Medium","Low",FALSE
"28","Female","No","General","Yes","Medium","Medium",FALSE
"29","Male","No","OBC","No","High","High",FALSE
"30","Male","Yes","General","Yes","High","High",TRUE
"31","Male","No","General","Yes","Medium","High",FALSE
"32","Female","Yes","General","No","High","High",TRUE
"33","Female","No","OBC","Yes","High","High",TRUE
"34","Female","No","SC","Yes","Medium","High",TRUE
"35","Male","Yes","General","No","Low","High",FALSE
"36","Male","No","OBC","Yes","High","High",TRUE
"37","Male","No","General","Yes","Medium","High",FALSE
"38","Female","No","ST","Yes","High","High",TRUE
"39","Female","No","SC","Yes","Low","Medium",FALSE
"40","Female","No","General","Yes","High","Medium",FALSE
"41","Female","No","OBC","Yes","High","High",TRUE
"42","Male","Yes","SC","No","High","Medium",TRUE
"43","Female","No","OBC","No","Low","Low",FALSE
"44","Male","No","General","No","High","Medium",FALSE
"45","Male","No","OBC","Yes","High","Medium",FALSE
"46","Female","No","SC","Yes","High","High",TRUE
"47","Male","No","OBC","Yes","High","High",TRUE
"48","Female","No","General","Yes","Medium","Medium",FALSE
"49","Female","No","General","No","High","High",FALSE
"50","Male","No","General","Yes","High","Low",FALSE
"51","Male","No","OBC","Yes","Medium","Low",FALSE
"52","Male","No","OBC","Yes","High","Medium",FALSE
"53","Female","No","OBC","No","Low","Low",FALSE
"54","Male","Yes","OBC","No","Medium","Medium",FALSE
"55","Male","No","SC","Yes","Medium","High",TRUE
"56","Female","No","OBC","Yes","High","Medium",FALSE
"57","Male","No","SC","No","Low","High",FALSE
"58","Male","No","OBC","No","High","High",FALSE
"59","Male","No","SC","Yes","Low","High",FALSE
"60","Female","No","ST","No","High","High",TRUE
"61","Male","Yes","SC","Yes","High","High",TRUE
"62","Male","No","OBC","No","Medium","Medium",FALSE
"63","Female","No","OBC","No","Medium","Medium",FALSE
"64","Male","Yes","OBC","Yes","High","High",TRUE
"65","Male","Yes","General","Yes","High","High",TRUE
"66","Female","Yes","SC","Yes","Medium","Medium",TRUE
"67","Female","No","General","Yes","Medium","High",FALSE
"68","Male","Yes","General","No","High","Low",FALSE
"69","Female","No","General","No","Medium","High",FALSE
"70","Female","No","SC","Yes","High","High",TRUE
